	cerebellum (adult)	hippocampus (adult)	aortic valve (adult)	left atrioventricular valve (adult)	right atrioventricular valve (adult)	left auricle (adult)	right auricle (adult)	left ventricle (adult)	right ventricle (adult)	skeletal muscle bicep (adult)	skeletal muscle longitudinal dorsal (adult)	lung (adult)	thoracic oesophagus (adult)	reticulum (lamb/newborn)	reticulum (lamb/1 week)	reticulum (lamb/8 weeks)	reticulum (adult)	rumen (lamb/newborn)	rumen (lamb/1 week)	rumen (lamb/8 weeks)	rumen (adult)	omasum (lamb/newborn)	omasum (lamb/1 week)	omasum (lamb/8 weeks)	omasum (adult)	abomasum (lamb/newborn)	abomasum (lamb/1 week)	abomasum (lamb/8 weeks)	abomasum (adult)	pylorus (lamb/newborn)	pylorus (lamb/1 week)	pylorus (lamb/8 weeks)	pylorus (adult)	duodenum (lamb/newborn)	duodenum (lamb/1 week)	duodenum (lamb/8 weeks)	duodenum (adult)	jejunum (lamb/newborn)	jejunum (lamb/1 week)	jejunum (lamb/8 weeks)	jejunum (adult)	ileum (lamb/newborn)	ileum (lamb/1 week)	ileum (lamb/8 weeks)	ileum (adult)	peyers patch (lamb/newborn)	peyers patch (lamb/1 week)	peyers patch (lamb/8 weeks)	peyers patch (adult)	caecum (lamb/newborn)	caecum (lamb/1 week)	caecum (lamb/8 weeks)	caecum (adult)	colon spiral (lamb/newborn)	colon spiral (lamb/1 week)	colon spiral (lamb/8 weeks)	colon spiral (adult)	colon distal (adult)	colon large (lamb/newborn)	colon large (lamb/1 week)	colon large (lamb/8 weeks)	rectum (adult)	kidney cortex (adult)	kidney medulla (adult)	adrenal gland cortex (adult)	adrenal gland medulla (adult)	liver (adult)	pituitary gland (adult)	salivary gland (adult)	thyroid (adult)	tonsil (adult)	thymus (adult)	spleen (adult)	submandibular lymph node (adult)	prescap lymph node (adult)	mesenteric lymph node (adult)	popliteal lymph node (adult)	haemolymph (adult)	blood leukocytes (adult)	alveolar macrophage (adult)	PBMC (adult)	MDM (adult)	macrophage LPS time course 0 hrs (adult)	macrophage LPS time course 2 hrs (adult)	macrophage LPS time course 4 hrs (adult)	macrophage LPS time course 7 hrs (adult)	macrophage LPS time course 24 hrs (adult)	epididymis (adult)	vas deferens (adult)	testes (adult)	ovary (adult)	fallopian tube (adult)	mammary gland (adult)	caruncle (adult)	intercaruncular tissue (adult)	blastocyst	embryo/23 days
1433G	95.9765	64.2688333333333	24.88675	25.26775	20.418	15.59	23.4352	17.0855	13.443	53.8058333333333	114.797833333333	12.2544	41.1313333333333	22.7553333333333	29.9586666666667	34.2676666666667	16.8643333333333	19.5403333333333	21.964	41.1186666666667	27.0666666666667	26.6776666666667	35.019	43.2016666666667	37.039	40.568	24.28	26.239	13.052	31.1693333333333	35.9673333333333	38.23	19.28475	26.9746666666667	35.6783333333333	25.6246666666667	20.774	18.4316666666667	21.727	20.838	12.3706666666667	15.724	13.11	14.1046666666667	10.6611666666667	22.2113333333333	14.8886666666667	14.0635	14.42975	25.2403333333333	25.3046666666667	19.577	15.001	28.213	26.825	21.963	15.0632	17.6711666666667	36.7876666666667	25.4953333333333	23.5056666666667	21.427	9.434	13.5158333333333	20.651	23.2656666666667	15.7611666666667	11.5836666666667	9.6872	14.7695	22.2593333333333	6.9414	13.8586666666667	12.8383333333333	16.2058	12.1205	20.29525	17.7158	16.9	64.64025	27.7048333333333	124.6032	51.7791666666667	97.441	92.8873333333333	73.763	79.9086666666667	7.653	11.0673333333333	13.096	54.969	9.215	15.4696666666667	11.1235	13.053	30.3553333333333	10.5096666666667
2B14	0.394333333333333	5.05816666666667	14.24775	14.99275	11.849	13.8555	7.5096	14.9951666666667	11.4686666666667	16.5803333333333	3.62316666666667	46.8682	8.417	1.09866666666667	5.89366666666667	17.882	71.0283333333334	0.566	5.19833333333333	5.865	18.3791666666667	0.565666666666667	1.69866666666667	12.1673333333333	17.5393333333333	2.056	10.0335	11.639	23.7378333333333	3.47866666666667	7.59033333333333	10.0486666666667	14.13775	26.3656666666667	47.563	83.9503333333333	76.999	28.5506666666667	125.949333333333	188.563	239.5355	161.788666666667	211.464666666667	269.189666666667	170.475833333333	31.8103333333333	100.340333333333	135.3235	174.78375	7.62733333333333	33.4753333333333	131.832	138.534333333333	8.17933333333333	30.166	97.5296666666667	93.3354	64.0173333333333	5.017	16.9553333333333	66.7603333333333	35.084	12.0811666666667	26.924	6.085	4.46183333333333	58.298	2.16266666666667	26.0148	16.9495	132.370333333333	56.3192	246.5455	164.963666666667	152.0352	178.130166666667	211.2735	237.9146	354.889	14.8535	204.229	2.97	4.3135	2.81216666666667	3.918	7.61033333333333	1.52666666666667	7.94033333333333	32.3863333333333	26.574	8.15	22.325	102.587333333333	23.0705	15.639	16.468	0.194333333333333
3BP5	153.988333333333	42.4771666666667	216.3195	123.27975	103.6715	51.7655	98.5732	35.2496666666667	96.9433333333333	198.5925	432.997666666667	58.187	153.476833333333	39.8933333333333	32.5373333333333	28.777	20.2916666666667	36.1506666666667	15.968	36.739	18.116	26.5483333333333	13.9106666666667	10.782	8.44116666666667	25.6586666666667	12.5625	16.5546666666667	16.021	43.794	38.9823333333333	36.7693333333333	38.9865	37.5646666666667	26.0806666666667	24.978	17.2305	33.363	33.417	22.451	25.5471666666667	86.8586666666667	47.1223333333333	52.0836666666667	34.6725	41.6336666666667	32.8153333333333	23.441	25.8645	35.9093333333333	42.9116666666667	45.1573333333333	52.2223333333333	31.327	35.2333333333333	39.1933333333333	46.188	52.2661666666667	32.7086666666667	37.5613333333333	43.7343333333333	53.87	77.9528333333333	57.7778333333333	51.5361666666667	58.5571666666667	12.3536666666667	75.9185	7.9708	47.1846666666667	56.946	7.7748	39.5966666666667	53.0476666666667	46.683	45.2773333333333	47.44525	102.9942	11.4894	51.7285	28.2108333333333	194.4994	112.717333333333	296.975166666667	213.447166666667	119.724666666667	160.687833333333	110.872	189.772666666667	54.009	43.5273333333333	66.4583333333333	148.194333333333	96.481	96.5735	46.1103333333333	23.1466666666667
A1BG	54.0083333333333	6.372	6.66425	9.5965	10.3915	6.03975	5.8274	2.7295	9.91433333333333	3.5815	8.14333333333333	23.3866	7.4335	2.47433333333333	1.877	10.638	2303.2445	3.06566666666667	2.145	10.7426666666667	13.0515	1.95866666666667	1.193	5.59333333333333	10.5273333333333	3.32933333333333	4.6185	2.818	14.7318333333333	2.45733333333333	3.462	5.73	11.948	3.87633333333333	3.72166666666667	7.99366666666667	9.773	3.53533333333333	1.732	2.44033333333333	3.4665	1.73733333333333	1.07133333333333	2.111	1465.1565	2.03	1.07666666666667	1.2375	1.79075	1.912	1.27166666666667	2.598	4.78566666666667	2.27666666666667	1.288	4.20333333333333	4.2848	4.25566666666667	1.70133333333333	1.30766666666667	4.21733333333333	4.15066666666667	8.96183333333333	4.00333333333333	11.2696666666667	15.6236666666667	3807.28483333333	21.5911666666667	1.593	5.7505	1.7585	0.9654	2.767	2.02483333333333	2.8376	3.15283333333333	1.32675	2.479	1.7928	0.6965	1.7565	1.0774	0.983166666666667	0.761666666666667	0.6405	0.5855	0.9005	23.341	8.17333333333333	1.793	4.183	25.0786666666667	3.21	4.4935	6.184	3.629	4.91033333333333
A1CF	0.505833333333333	11.4963333333333	0.44975	0.3915	0.51775	0.9945	1.5422	1.158	0.577833333333333	0.6415	0.427333333333333	0.397	0.8025	0.233	0.218	0.175333333333333	233.670666666667	0.371	0.376333333333333	0.411666666666667	0.459333333333333	0.393	0.362333333333333	0.373	0.383166666666667	1.02633333333333	1.918	1.453	1.03916666666667	0.646666666666667	8.072	3.40433333333333	1.44225	157.568333333333	97.913	188.682333333333	81.192	85.4313333333333	139.746	201.985333333333	136.889833333333	29.8526666666667	25.3773333333333	10.1203333333333	286.689666666667	48.252	70.387	76.9655	29.1365	29.3003333333333	20.1706666666667	21.683	5.21966666666667	19.2673333333333	18.9403333333333	28.3446666666667	16.5554	14.756	20.0126666666667	18.844	25.8116666666667	11.3176666666667	64.3751666666667	9.042	0.391666666666667	0.373166666666667	1092.14833333333	0.393	0.448	0.381166666666667	0.3885	0.4436	0.2885	0.369666666666667	0.4494	0.377166666666667	0.4025	0.3858	0.4336	0.5925	0.406	0.5584	0.332166666666667	0.476	0.464	0.3195	0.508666666666667	0.447	0.419333333333333	1.28166666666667	0.279666666666667	0.367333333333333	0.414666666666667	0.3715	0.4215	1.72566666666667	49.8096666666667
A2M	18.5876666666667	58.8905	3848.516	145.6125	214.725	275.72675	312.7418	238.668	250.3815	380.412333333333	57.5826666666667	9930.17	94440.6971666667	2067.42333333333	26676.4196666667	42062.9526666667	36959.2771666667	9750.37533333334	171142.565	34606.6536666667	20864.6085	1922.697	42768.904	9804.57833333333	19117.0793333333	3540.343	2948.0105	13096.133	31264.4738333333	4775.399	12563.8946666667	18644.963	44095.18225	845.618333333333	4472.27366666667	11120.7543333333	10523.205	185.403	2864.955	9799.52933333333	14353.7556666667	1899.891	4211.83433333333	8068.06333333333	12266.4208333333	897.821666666667	2978.394	8212.5635	5035.36625	516.222666666667	2604.97866666667	13531.2283333333	21000.5656666667	337.353333333333	1459.234	10345.025	11272.492	14792.4218333333	443.896333333333	1330.356	11293.8773333333	21615.7263333333	7.18716666666667	1331.226	152.587833333333	237.015833333333	39256.6753333333	121.3605	61.128	3049.18733333333	2756.78883333333	38.7828	6549.80816666667	1399.18416666667	2450.0904	1400.50966666667	1164.46925	1900.0282	1019.4162	179.17625	503.815	174.0944	78.3583333333333	122.560666666667	110.013	79.3271666666667	65.4961666666667	12.667	201.691666666667	273.304333333333	102.223333333333	64.2533333333333	934.380666666667	115.162	58.5545	914.102333333333	6329.144
ENSOARG00000001975	94.7278333333334	67.9618333333333	49.378	47.6555	58.35525	56.12425	53.8526	435.449666666667	47.7116666666667	62.578	29.1325	42.1442	42.5961666666667	8.82733333333333	7.279	5.94966666666667	65.5163333333333	54.784	47.8856666666667	36.944	30.7263333333333	52.166	57.3593333333333	40.6613333333333	30.0008333333333	53.654	64.874	49.6566666666667	47.0088333333333	51.8433333333333	48.28	66.297	37.72825	38.6616666666667	33.8743333333333	36.8813333333333	43.615	48.9503333333333	41.6613333333333	45.11	44.0596666666667	6.29266666666667	7.142	7.84166666666667	73.2813333333333	46.4993333333333	47.58	63.487	55.5425	47.1413333333333	33.4836666666667	48.8843333333333	48.2913333333333	39.5633333333333	36.2313333333333	63.4673333333333	71.701	55.299	43.6156666666667	48.126	48.899	37.9483333333333	55.4111666666667	82.008	54.8326666666667	45.979	78.61	57.1483333333333	65.7128	59.9513333333333	41.0085	61.6756	76.5045	54.1438333333333	44.7864	49.8255	56.94225	44.2692	67.8486	19.4395	92.5178333333333	20.2532	7.43516666666667	19.5435	23.057	7.923	16.1856666666667	73.8616666666667	45.9903333333333	1361.51566666667	68.667	53.5403333333333	38.343	52.2155	74.7425	40.9696666666667	68.2443333333333
ENSOARG00000001976	26.496	29.8296666666667	868.222	347.13125	302.6515	162.4685	186.7956	25.8555	55.1913333333333	7.98683333333333	4.5075	125.0956	95.1266666666667	20.7003333333333	20.3146666666667	24.6533333333333	471.257833333333	4.43833333333333	5.11233333333333	15.355	19.7891666666667	6.154	8.769	7.63733333333333	11.797	14.473	9.7075	22.4823333333333	84.4855	12.8706666666667	20.2046666666667	71.747	104.33575	23.7143333333333	99.1783333333333	139.012333333333	59.0245	18.8876666666667	70.5566666666667	85.5946666666667	159.397666666667	113.589	163.322666666667	246.085333333333	317.070833333333	14.788	42.4606666666667	54.663	74.1165	4.84966666666667	12.6783333333333	51.401	101.723333333333	8.149	12.9116666666667	45.4506666666667	82.9582	99.625	14.7053333333333	16.857	39.212	46.4836666666667	21.0946666666667	38.984	1642.5865	1390.31666666667	1045.88433333333	8.9725	12.8912	52.717	56.5286666666667	23.3006	47.7251666666667	142.6345	187.1386	188.058666666667	154.786	113.8612	1.6044	1.24375	0.964	0.29	0.990333333333333	0.306666666666667	0.255	1.19083333333333	0.278166666666667	16.87	342.504666666667	25.7066666666667	81.144	137.687333333333	59.1436666666667	27.549	24.1095	43.863	4.324
ENSOARG00000001977	0.5405	0.739833333333333	0.53725	0.65225	0.53575	0.51525	0.4254	0.706	0.448333333333333	0.564833333333333	0.604333333333333	0.506	0.512333333333333	0.569333333333333	0.591	0.424	0.6695	0.493	0.499333333333333	0.553	0.531	0.581666666666667	0.547333333333333	0.664	0.590833333333333	0.419666666666667	0.4615	0.446	0.610833333333333	0.442666666666667	0.654666666666667	0.435333333333333	0.515	0.642666666666667	0.643666666666667	0.464333333333333	0.584	0.641	0.500666666666667	0.513333333333333	0.530666666666667	0.470666666666667	0.444666666666667	0.465333333333333	0.588333333333333	0.569	0.558666666666667	0.4755	0.547	0.600333333333333	0.477	0.469	0.454666666666667	0.655333333333333	0.547666666666667	0.521333333333333	0.509	0.48	0.594666666666667	0.607666666666667	0.533333333333333	0.672	0.6175	0.6575	0.590333333333333	0.534833333333333	0.628833333333333	0.514	0.5578	0.507	0.6505	0.6046	0.5995	0.492666666666667	0.4924	0.525666666666667	0.6025	0.5114	0.6084	0.936	0.688333333333333	0.8018	0.851333333333333	0.7435	0.700166666666667	0.837666666666667	0.633666666666667	0.51	0.504333333333333	0.691666666666667	0.740333333333333	0.488666666666667	0.504333333333333	0.6135	0.854	0.592	0.860333333333333
ENSOARG00000001981	0.5015	0.627166666666667	0.4795	0.52175	0.50375	0.46125	0.4282	0.5755	0.451333333333333	0.5295	0.581666666666667	0.5092	0.515333333333333	0.483666666666667	0.480666666666667	0.439	0.688833333333333	0.496333333333333	0.502	0.482666666666667	0.534166666666667	0.522666666666667	0.485333333333333	0.498333333333333	0.5105	0.422666666666667	0.4645	0.449	0.4455	0.445333333333333	0.523333333333333	0.438333333333333	0.518	0.473	0.527	0.467	0.5025	0.516	0.503666666666667	0.516333333333333	0.461166666666667	0.487	0.460666666666667	0.481666666666667	0.548666666666667	0.521333333333333	0.505666666666667	0.4785	0.51725	0.534666666666667	0.48	0.472	0.457666666666667	0.485	0.497666666666667	0.452333333333333	0.4984	0.454666666666667	0.487333333333333	0.475666666666667	0.474	0.515333333333333	0.495333333333333	0.606666666666667	0.522833333333333	0.500333333333333	0.545166666666667	0.4935	0.5258	0.510166666666667	0.4975	0.6002	0.613	0.495666666666667	0.4952	0.504333333333333	0.4985	0.5144	0.5724	0.72675	0.5395	0.6606	0.6995	0.622	0.608333333333333	0.677666666666667	0.637166666666667	0.513	0.507333333333333	0.755666666666667	0.709333333333333	0.492	0.507333333333333	0.4985	0.5055	0.544666666666667	0.790666666666667
