	sample_name	age	condition	organ system
1	cerebellum (adult)	adult	cerebellum (adult)	nervous system
2	hippocampus (adult)	adult	hippocampus (adult)	nervous system
3	aortic valve (adult)	adult	aortic valve (adult)	cardiovascular system
4	left atrioventricular valve (adult)	adult	left atrioventricular valve (adult)	cardiovascular system
5	right atrioventricular valve (adult)	adult	right atrioventricular valve (adult)	cardiovascular system
6	left auricle (adult)	adult	left auricle (adult)	cardiovascular system
7	right auricle (adult)	adult	right auricle (adult)	cardiovascular system
8	left ventricle (adult)	adult	left ventricle (adult)	cardiovascular system
9	right ventricle (adult)	adult	right ventricle (adult)	cardiovascular system
10	skeletal muscle bicep (adult)	adult	skeletal muscle bicep (adult)	muscular system
11	skeletal muscle longitudinal dorsal (adult)	adult	skeletal muscle longitudinal dorsal (adult)	muscular system
12	lung (adult)	adult	lung (adult)	respiratory system
13	thoracic oesophagus (adult)	adult	thoracic oesophagus (adult)	gastrointestinal tract
14	reticulum (lamb/newborn)	lamb/newborn	reticulum (lamb/newborn)	gastrointestinal tract
15	reticulum (lamb/1 week)	lamb/1 week	reticulum (lamb/1 week)	gastrointestinal tract
16	reticulum (lamb/8 weeks)	lamb/8 weeks	reticulum (lamb/8 weeks)	gastrointestinal tract
17	reticulum (adult)	adult	reticulum (adult)	gastrointestinal tract
18	rumen (lamb/newborn)	lamb/newborn	rumen (lamb/newborn)	gastrointestinal tract
19	rumen (lamb/1 week)	lamb/1 week	rumen (lamb/1 week)	gastrointestinal tract
20	rumen (lamb/8 weeks)	lamb/8 weeks	rumen (lamb/8 weeks)	gastrointestinal tract
21	rumen (adult)	adult	rumen (adult)	gastrointestinal tract
22	omasum (lamb/newborn)	lamb/newborn	omasum (lamb/newborn)	gastrointestinal tract
23	omasum (lamb/1 week)	lamb/1 week	omasum (lamb/1 week)	gastrointestinal tract
24	omasum (lamb/8 weeks)	lamb/8 weeks	omasum (lamb/8 weeks)	gastrointestinal tract
25	omasum (adult)	adult	omasum (adult)	gastrointestinal tract
26	abomasum (lamb/newborn)	lamb/newborn	abomasum (lamb/newborn)	gastrointestinal tract
27	abomasum (lamb/1 week)	lamb/1 week	abomasum (lamb/1 week)	gastrointestinal tract
28	abomasum (lamb/8 weeks)	lamb/8 weeks	abomasum (lamb/8 weeks)	gastrointestinal tract
29	abomasum (adult)	adult	abomasum (adult)	gastrointestinal tract
30	pylorus (lamb/newborn)	lamb/newborn	pylorus (lamb/newborn)	gastrointestinal tract
31	pylorus (lamb/1 week)	lamb/1 week	pylorus (lamb/1 week)	gastrointestinal tract
32	pylorus (lamb/8 weeks)	lamb/8 weeks	pylorus (lamb/8 weeks)	gastrointestinal tract
